Aliens;1986
The Mule;2018
Death Proof;2007
Spider-Man: Into the Spider-Verse;2018
Pokémon Detective Pikachu;2019
1917;2019
Spring Breakers;2013
Mission: Impossible - Fallout;2018
Sorcerer;1977
Princess Mononoke;1997
The Thing;1982
Mandy;2018
Raw;2016
Snowpiercer;2013
Alita: Battle Angel;2019
Hereditary;2018
Don't Breathe;2016
Phantom Thread;2017
The Endless;2017
The Holy Mountain;1973
The Platform;2019
The Clink of Ice;2010
John Wick;2014
Buffet Froid;1979
Four Rooms;1995
The Void;2016
The Departed;2006
Avatar: The Way of Water;2022
Bigbug;2022
The Jesus Rolls;2019
Alien³;1992
Let the Corpses Tan;2017
Starman;1984
No Country for Old Men;2007
Don't Look Up;2021
Parasite;2019
Amadeus;1984
The Big Short;2015
The Suicide Squad;2021
The Wind Rises;2013
Hard to Be a God;2013
Kill Bill: Vol. 2;2004
Alien;1979
Swiss Army Man;2016
The Royal Tenenbaums;2001
Evil Dead;2013
Maps to the Stars;2014
Piranha 3D;2010
Kill Bill: Vol. 1;2003
Dune;1984
Deliverance;1972
Alien Resurrection;1997
